,EVAPPREC,FU,FV,OMEGA,PDELDRY,Q,RELHUM,SPMC,SPMCUP,T,U,V
0,2.32203330434e-21,-1.39377931418e-07,-2.45090903128e-09,-2.00367303478e-05,277.645355225,3.69466761185e-06,0.0411524958909,0.0,0.0,225.952011108,-25.4610919952,0.112872518599
1,3.09844538368e-20,-1.3429875878e-07,-5.85658543883e-09,-5.30941433681e-05,512.624755859,4.12080453316e-06,0.259891211987,0.0,0.0,218.248901367,-17.943687439,0.0318898037076
2,1.44129710921e-20,-1.73891734789e-07,-8.89197782072e-09,-7.80652117101e-05,839.73223877,4.62760044684e-06,1.02394104004,-4.03445202593e-12,0.0,213.281921387,-12.7954626083,0.0256986990571
3,7.25621251025e-20,-2.07854270684e-07,-8.68078586791e-09,-0.000104885439214,1211.3684082,4.98845247421e-06,3.96179485321,4.43887071197e-12,0.0,208.020339966,-9.8634853363,0.0223641805351
4,7.33683935552e-20,-3.06335635969e-07,-5.70013147794e-09,-0.000138793708174,1519.83190918,5.15783722221e-06,14.9668970108,9.01782470919e-09,2.52692051311e-11,202.403182983,-6.5352230072,0.030395237729
5,7.91286079224e-20,-5.92735602822e-07,7.23216464493e-09,-0.000192112012883,1745.59472656,5.22324307894e-06,48.9835243225,3.60896308393e-08,2.0548471813e-09,197.572738647,-1.95290327072,0.0334984734654
6,9.55176862355e-15,-9.04288469883e-07,3.50889699519e-08,-0.00027519435389,1737.7791748,5.10851714353e-06,83.0935897827,1.02315098616e-07,4.90206346626e-08,195.911849976,3.09928441048,0.0394229963422
7,2.17661349014e-12,-1.05281878859e-06,9.99046818606e-08,-0.000372431182768,1423.9498291,5.29974295205e-06,73.4242172241,4.44633599272e-07,6.38865856217e-07,197.73815918,6.9391283989,-0.021521192044
8,1.20051451419e-12,-7.10663755399e-07,1.84792483537e-07,-0.000461700547021,1675.20593262,6.57646705804e-06,63.6910514832,2.77687627204e-06,4.32699289377e-06,200.976806641,9.23793888092,-0.035425491631
9,1.14824209169e-12,-3.64667300801e-07,1.9391411854e-07,-0.000526334857568,1970.77966309,1.04413074951e-05,59.8097686768,1.31623664856e-05,2.00117847271e-05,205.563064575,10.8251934052,-0.0344212725759
10,7.8514207939e-13,-3.44161861676e-07,1.46055825212e-08,-0.000530816381797,2318.50170898,2.04545249289e-05,59.1326522827,4.18769486714e-05,6.03467015026e-05,211.336517334,11.6987962723,0.0498381741345
11,3.33397415578e-12,-4.06008240361e-07,-3.02820488685e-08,-0.000445840560133,2727.53613281,4.41737247456e-05,58.0471878052,9.99623953248e-05,0.00013272659271,218.140014648,11.7169618607,0.158162608743
12,4.40452362083e-11,-1.77310539584e-07,5.05462267597e-08,-0.000285629619611,3190.84936523,9.34810595936e-05,53.8790893555,0.000188160891412,0.000228217235417,225.706756592,11.0608062744,0.185896620154
13,3.70693614693e-10,-7.63451737384e-08,5.74648346685e-08,-0.0001292546076,3753.52563477,0.000184317541425,47.2845954895,0.000277929677395,0.000319435610436,233.787628174,9.89940071106,0.141954809427
14,1.46659628886e-09,-3.87104286403e-08,3.97602271107e-08,-5.0956979976e-05,4415.13232422,0.000340028345818,40.9476547241,0.000349022564478,0.000386091298424,242.120269775,8.31510829926,0.0909857228398
15,1.26966182012e-09,2.9187457784e-08,6.89713708368e-09,-3.65431624232e-05,5192.82568359,0.000598717364483,36.7610359192,0.000436464324594,0.00048310161219,250.369979858,6.41129589081,0.0673006922007
16,6.03600669447e-10,1.31624542377e-08,1.01933199659e-08,-6.72387614031e-05,6106.49609375,0.0010215647053,34.2609863281,0.00061413703952,0.000677923904732,258.22164917,4.47789382935,0.0290294252336
17,3.97031713062e-10,2.32544099532e-08,1.87013586839e-08,-7.14964626241e-05,7179.21972656,0.00168359512463,34.88073349,0.00103818194475,0.00112081412226,265.57232666,2.7553498745,-0.0166927259415
18,6.94128976519e-10,2.10676134316e-08,2.44803377569e-08,8.91363088158e-05,8437.62402344,0.00267480849288,37.8988723755,0.00158830278087,0.00168139184825,272.66607666,1.29797327518,-0.0279637370259
19,1.0483713897e-09,-1.69023159913e-08,5.49317000775e-08,0.000544748152606,8429.28808594,0.00406422885135,41.8034667969,0.00181175023317,0.00180643959902,279.297302246,0.0873953923583,-0.0622133016586
20,7.31008864552e-10,-7.37097849424e-08,3.31697798117e-08,0.000928409921471,7722.15576172,0.00590510247275,47.3055458069,0.00220996118151,0.00170493382029,284.768615723,-0.824877619743,-0.103188917041
21,3.43839900996e-10,2.86440098307e-07,1.8556215764e-07,0.000552793208044,6502.22705078,0.00807525590062,55.2525558472,0.00348711921833,0.00155214825645,288.748382568,-1.58236980438,-0.115906529129
22,3.62700813827e-10,1.39735072935e-06,9.84289499684e-07,-0.000663161976263,4822.65185547,0.0100910896435,62.8997535706,0.00539925554767,0.00133025785908,291.505523682,-2.32544374466,-0.106978647411
23,4.0871264706e-10,3.17539047501e-06,2.01255988941e-06,-0.00203026155941,2787.95605469,0.0115044554695,67.1355285645,0.00639074947685,0.0010019026231,293.386077881,-2.95609331131,-0.0882478803396
24,3.90281168494e-10,6.57164446238e-06,2.70911323241e-06,-0.00327008566819,2612.62426758,0.012612933293,70.1302719116,0.00587569642812,0.000542066583876,294.754669189,-3.49465847015,-0.0791907757521
25,3.87046728001e-10,1.86099623534e-05,4.00397220801e-06,-0.00446499325335,2416.49853516,0.0137415984645,72.5886764526,0.00424455245957,0.000182306932402,296.106719971,-3.97921276093,-0.073391251266
26,3.993753106e-10,4.65759185317e-05,3.29023259837e-06,-0.00561650749296,2201.13720703,0.0147774145007,73.7088699341,0.00161154870875,2.48876676778e-05,297.49029541,-3.82040381432,-0.0113608194515
27,5.07712427655e-10,5.84763402003e-05,1.72985369318e-06,-0.00617874134332,1968.27258301,0.0155188934878,72.6070709229,-8.1525549831e-06,3.62358747452e-07,298.915435791,-3.54327559471,0.00656624417752
28,6.6693545131e-10,6.09412818449e-05,6.66684002226e-07,-0.00588746834546,1719.41723633,0.0160380490124,70.3796539307,-2.2780038762e-06,0.0,300.288452148,-3.43104457855,0.0467268675566
29,4.29595137241e-10,6.07369729551e-05,-1.661809506e-06,-0.00459528295323,1456.32922363,0.0169898848981,70.1894378662,0.0,0.0,301.575317383,-3.18823409081,0.147180318832
