,EVAPPREC,FU,FV,OMEGA,PDELDRY,Q,RELHUM,SPMC,SPMCUP,T,U,V
0,2.37197594941e-21,-6.27141361065e-08,-4.41750946933e-09,-2.425232924e-05,277.644256592,3.69888334717e-06,0.0406870208681,0.0,0.0,226.043060303,-28.6119232178,0.118940092623
1,1.840036777e-20,-6.57337224652e-08,-5.64528379599e-09,-6.18606354692e-05,512.623413086,4.14890564571e-06,0.265251606703,0.0,0.0,218.178421021,-20.018655777,0.0139876222238
2,8.43223392793e-22,-9.28988228566e-08,-8.30145197028e-09,-8.79064609762e-05,839.733276367,4.66477376904e-06,1.0281740427,-7.97315121912e-13,0.0,213.313018799,-14.20266819,0.00489591155201
3,7.26648845221e-21,-1.15704814618e-07,-9.91773596581e-09,-0.000112172740046,1211.375,5.01886006532e-06,3.97519779205,-2.72879635554e-11,0.0,208.036376953,-10.8993167877,0.0160643402487
4,8.6204651771e-21,-1.73512205492e-07,-1.04554658265e-08,-0.000128627638333,1519.828125,5.17730404681e-06,15.1789636612,1.10559628119e-09,0.0,202.312088013,-7.47347784042,0.0643616095185
5,8.78551598208e-21,-3.34299784299e-07,-6.28361085386e-10,-0.000116683499073,1745.59155273,5.23126846019e-06,50.1998443604,4.93755170083e-09,0.0,197.348983765,-3.003292799,0.11688555032
6,1.38421488966e-14,-5.36405991625e-07,3.36154108993e-08,-9.20220118132e-05,1737.78405762,5.09246547153e-06,85.7491149902,2.70419047155e-08,7.82028830582e-10,195.609695435,1.8484954834,0.200354024768
7,2.2674004601e-12,-7.33148226573e-07,1.08006396715e-07,-0.000236606341787,1423.9552002,5.26296980752e-06,75.3949737549,4.95011001078e-08,1.91557703033e-08,197.431991577,5.46654176712,0.156795874238
8,1.12935702457e-12,-3.92564800222e-07,2.07460686852e-07,-0.000727148319129,1675.20544434,6.58432918499e-06,65.5119552612,-3.62251064701e-08,2.80166631228e-07,200.706634521,7.58324670792,0.130699872971
9,1.29150759098e-12,-1.13266118262e-07,1.97263815949e-07,-0.00148052722216,1970.78430176,1.07426467366e-05,62.4008255005,-3.63718299923e-08,4.73040415727e-07,205.369567871,9.14225578308,0.148280531168
10,1.10309862373e-12,-1.68093464481e-07,2.22542642092e-08,-0.0021436852403,2318.50341797,2.17086762859e-05,62.7124900818,4.90952743348e-07,1.83740564808e-06,211.239227295,10.1233196259,0.319592833519
11,2.78130361624e-12,-3.35495172976e-07,-9.02456562812e-08,-0.00232020346448,2727.5234375,4.7765130148e-05,62.2182273865,3.39243592862e-06,5.17050693816e-06,218.14515686,10.2723197937,0.523638725281
12,3.89378043697e-11,-1.64069973607e-07,1.6939097236e-08,-0.00171297311317,3190.09350586,0.000101717509096,58.1020774841,1.11928038677e-05,1.34178808366e-05,225.805465698,9.76323509216,0.563574969769
13,3.46110806682e-10,-4.67588456843e-08,2.55963215068e-08,-0.000164043245604,3752.60913086,0.000199628135306,51.0553588867,2.46589588642e-05,2.78531115327e-05,233.959136963,8.75456619263,0.44375026226
14,1.17503995423e-09,-2.30315464478e-08,5.507668277e-08,0.00209332397208,4414.02880859,0.000362126738764,43.8231697083,4.06319595641e-05,4.43479657406e-05,242.342391968,7.31903982162,0.303381115198
15,9.61901114316e-10,4.04054993908e-08,8.71248628798e-10,0.00470621464774,5191.50341797,0.000625432759989,38.8064117432,5.85826710449e-05,6.44132087473e-05,250.61114502,5.54380226135,0.243246078491
16,5.06156283553e-10,3.81326508148e-08,9.38287580965e-09,0.00721019459888,6104.91796875,0.00105155690107,35.5810699463,8.80009829416e-05,9.70145629253e-05,258.452545166,3.74018454552,0.181690216064
17,3.28723076537e-10,4.79516550911e-08,2.00037639786e-08,0.00878381635994,7177.34521484,0.00171570316888,35.6246109009,0.000152911219629,0.000165813049534,265.791168213,2.12978100777,0.0874064192176
18,3.43596928687e-10,4.32797371275e-08,3.07542009637e-08,0.00901968590915,8435.27148438,0.00272341538221,38.3529319763,0.000267393770628,0.000275773083558,272.893463135,0.76878875494,0.0337239354849
19,3.05862890571e-10,4.56602293752e-08,5.39197877458e-08,0.00850284285843,8426.10253906,0.00421414058656,42.9694099426,0.000508294499014,0.00041251219227,279.511169434,-0.363075584173,-0.0202244799584
20,1.88706009152e-10,3.02952400943e-08,-4.49637020949e-08,0.00698251184076,7717.64599609,0.00626091193408,49.7794685364,0.00128802435938,0.000610297487583,284.998596191,-1.21156358719,-0.0793720856309
21,9.91567591924e-11,5.09041967689e-07,-3.66333310353e-08,0.00332016544417,6497.54736328,0.00856338720769,57.7776031494,0.00317308749072,0.000729998922907,289.118713379,-1.86174726486,-0.138496056199
22,1.32138452957e-10,1.93067671717e-06,9.00883605937e-07,-0.00162412750069,4819.29638672,0.0105531588197,64.1533660889,0.00579231278971,0.0007706307224,292.064453125,-2.47298431396,-0.163347110152
23,1.70516489817e-10,3.63053982255e-06,1.88516037269e-06,-0.00549246603623,2786.15307617,0.0119166756049,67.392036438,0.00714566232637,0.000651477195788,294.048828125,-2.99429273605,-0.152891710401
24,1.6551732207e-10,6.62700585963e-06,2.17313095163e-06,-0.00793099962175,2610.98413086,0.0130060389638,69.8970336914,0.00667891511694,0.000332643510774,295.453460693,-3.43661189079,-0.146837353706
25,1.80069806288e-10,1.61557745741e-05,2.53001621786e-06,-0.00947930756956,2414.91967773,0.0141576780006,72.2764968872,0.00488903559744,8.08251425042e-05,296.803649902,-3.79465103149,-0.160948738456
26,2.09899736481e-10,4.07333427574e-05,2.65901985586e-06,-0.0102380281314,2199.5769043,0.015247204341,73.592376709,0.001875563059,4.26350425187e-06,298.171966553,-3.5993540287,-0.14863717556
27,3.36026262371e-10,5.42361485714e-05,2.10603229789e-06,-0.0100739309564,1966.77539062,0.0160373970866,72.6730880737,3.60162903235e-06,1.01923927076e-08,299.593170166,-3.28315448761,-0.139163061976
28,3.07568637226e-10,5.4414387705e-05,9.31134138682e-07,-0.00888650864363,1718.08068848,0.0165723729879,70.4140930176,-1.8932319108e-06,0.0,300.975982666,-3.16797542572,-0.104261286557
29,1.88852156136e-10,5.34706960025e-05,-9.55639279709e-07,-0.00647331913933,1455.30908203,0.0175086203963,69.9909133911,0.0,0.0,302.272399902,-2.93369650841,-0.00986020639539
