,EVAPPREC,FU,FV,OMEGA,PDELDRY,Q,RELHUM,SPMC,SPMCUP,T,U,V
0,0.0,0.0,0.0,-1.78341433639e-05,277.644500732,3.22618529935e-06,0.00564556149766,0.0,0.0,242.105361938,-28.3672733307,0.0373711958528
1,0.0,0.0,0.0,-4.97603068652e-05,512.624450684,3.46347906088e-06,0.0395945832133,0.0,0.0,232.041641235,-20.5046920776,0.0186219308525
2,1.52352794978e-22,0.0,0.0,-7.28552622604e-05,839.734375,3.8065525132e-06,0.202358856797,5.56355037994e-13,0.0,224.286300659,-14.8164176941,-0.00449645100161
3,5.97653381037e-21,0.0,0.0,-9.57422453212e-05,1211.37524414,4.08454752687e-06,1.08337163925,-2.53894943264e-11,0.0,215.894073486,-11.6746902466,-0.00430817808956
4,1.15318638601e-20,0.0,0.0,-0.000120642282127,1519.82849121,4.22362882091e-06,6.49701404572,6.56327547865e-10,0.0,206.501846313,-8.74435806274,0.0357501618564
5,9.86361908695e-21,0.0,0.0,-0.000124557525851,1745.59375,4.29707961302e-06,32.871421814,3.65534491564e-09,1.24327466725e-11,198.580093384,-5.00277519226,0.0530819818377
6,1.31060879244e-20,3.40216028093e-12,-3.85040610507e-11,-0.000123577192426,1737.78466797,4.29152714787e-06,82.6899414062,1.61716471325e-08,6.21390106037e-10,194.836669922,-0.810395658016,0.0334511809051
7,2.65196308788e-14,-2.06333581332e-08,3.52327472752e-10,-0.00017500318063,1423.95458984,4.17825776822e-06,95.5825653076,3.57300429243e-08,1.55183581541e-08,194.811325073,2.66837000847,-0.123036712408
8,1.42170129835e-12,-6.73203004453e-08,2.91699198129e-08,-0.000336417142535,1675.20715332,4.29790907219e-06,81.5188446045,1.41519961971e-07,4.38543594328e-07,196.60798645,5.08391904831,-0.236939907074
9,5.03440691912e-12,1.03562427967e-07,6.1957742048e-08,-0.000639984966256,1970.79602051,5.34699529453e-06,68.4950790405,1.41892678585e-06,3.23793983625e-06,200.000747681,6.815721035,-0.392803370953
