,EVAPPREC,FU,FV,OMEGA,PDELDRY,Q,RELHUM,SPMC,SPMCUP,T,U,V
0,0.0,-4.80452690965e-08,9.1594944962e-09,-1.96452274395e-05,277.644500732,3.23485437548e-06,0.00557121587917,0.0,0.0,242.234588623,-28.1132602692,0.0205169506371
1,0.0,-6.65710970793e-08,3.82342912886e-09,-4.87344914291e-05,512.623596191,3.4653774037e-06,0.0388870611787,0.0,0.0,232.240493774,-20.3594322205,0.0416127070785
2,4.95567570344e-22,-1.06583051718e-07,-2.92742141639e-09,-7.09761152393e-05,839.734375,3.816649496e-06,0.197628185153,3.10654280078e-11,0.0,224.496887207,-14.2990512848,0.0403375066817
3,6.17796723371e-21,-1.55866175078e-07,-8.00585109317e-09,-8.77457641764e-05,1211.37524414,4.09839731219e-06,1.06062507629,-2.11734463296e-10,0.0,216.087844849,-11.1184091568,0.0181010961533
4,1.50708010145e-20,-3.12298453764e-07,-1.34270115026e-08,-0.000106369021523,1519.82836914,4.25042435381e-06,6.62726402283,3.67674468649e-09,7.8359428321e-12,206.352874756,-8.49517822266,-0.0421786159277
5,9.09855537632e-21,-9.08257447918e-07,-4.70378864748e-08,-0.000211621823837,1745.59375,4.32286515206e-06,34.4854621887,1.65410760644e-08,4.40404795965e-10,198.107177734,-5.36222314835,-0.0447760038078
6,1.09001183997e-20,-2.29434385801e-06,-2.05814586707e-07,-0.000405831815442,1737.78710938,4.29884084951e-06,83.7594909668,1.01386277152e-07,6.06125061253e-09,194.455078125,-1.67766821384,0.0979005023837
7,2.75697924912e-14,-3.36826860803e-06,-3.42819589605e-07,-0.000553106889129,1423.95568848,4.18740046371e-06,92.7725219727,1.73266073489e-07,3.89848722193e-08,194.776351929,1.64097571373,0.293854475021
8,1.14493787715e-12,-3.46299407283e-06,-2.54010330991e-07,-0.00052594486624,1675.21044922,4.3490367716e-06,78.0537490845,1.90523962829e-07,2.78865826431e-07,196.856109619,4.01793909073,0.435486584902
9,2.04073129922e-12,-2.63242668552e-06,-9.276345736e-08,-0.00024106685305,1970.79602051,5.44405065739e-06,66.0110702515,1.16644434911e-06,2.00471504286e-06,200.356262207,5.60902357101,0.677804589272
10,1.37486257188e-12,-1.60698664331e-06,1.01007294973e-07,0.000232152306125,2318.53271484,8.66723803483e-06,60.3771286011,7.20107982488e-06,1.08827107397e-05,205.178146362,6.68925857544,0.902435898781
11,6.11356288944e-13,-1.03317643152e-06,1.74380446083e-07,0.000666302104946,2727.60766602,1.7188511265e-05,58.4921112061,2.75070779026e-05,3.82987454941e-05,211.245422363,7.46477413177,1.04841995239
12,3.68268956996e-12,-6.77667742366e-07,3.28220792767e-08,0.000986886094324,3040.22290039,3.75408490072e-05,57.6371459961,7.72882631281e-05,9.73640126176e-05,218.129150391,7.79647111893,1.12684190273
