,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CBMF,CBMF,CBMF,CBMF,CBMF,CBMF,CBMF,CBMF,CBMF,CBMF,CBMF,CBMF,CBMF,CBMF,CBMF,CBMF,CBMF,CBMF,CBMF,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,ICEFRAC,ICEFRAC,ICEFRAC,ICEFRAC,ICEFRAC,ICEFRAC,ICEFRAC,ICEFRAC,ICEFRAC,ICEFRAC,ICEFRAC,ICEFRAC,ICEFRAC,ICEFRAC,ICEFRAC,ICEFRAC,ICEFRAC,ICEFRAC,ICEFRAC,PCLDBOT,PCLDBOT,PCLDBOT,PCLDBOT,PCLDBOT,PCLDBOT,PCLDBOT,PCLDBOT,PCLDBOT,PCLDBOT,PCLDBOT,PCLDBOT,PCLDBOT,PCLDBOT,PCLDBOT,PCLDBOT,PCLDBOT,PCLDBOT,PCLDBOT,PCLDTOP,PCLDTOP,PCLDTOP,PCLDTOP,PCLDTOP,PCLDTOP,PCLDTOP,PCLDTOP,PCLDTOP,PCLDTOP,PCLDTOP,PCLDTOP,PCLDTOP,PCLDTOP,PCLDTOP,PCLDTOP,PCLDTOP,PCLDTOP,PCLDTOP,PRECC,PRECC,PRECC,PRECC,PRECC,PRECC,PRECC,PRECC,PRECC,PRECC,PRECC,PRECC,PRECC,PRECC,PRECC,PRECC,PRECC,PRECC,PRECC,PRECL,PRECL,PRECL,PRECL,PRECL,PRECL,PRECL,PRECL,PRECL,PRECL,PRECL,PRECL,PRECL,PRECL,PRECL,PRECL,PRECL,PRECL,PRECL,PRECSH,PRECSH,PRECSH,PRECSH,PRECSH,PRECSH,PRECSH,PRECSH,PRECSH,PRECSH,PRECSH,PRECSH,PRECSH,PRECSH,PRECSH,PRECSH,PRECSH,PRECSH,PRECSH,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECTMX,PRECTMX,PRECTMX,PRECTMX,PRECTMX,PRECTMX,PRECTMX,PRECTMX,PRECTMX,PRECTMX,PRECTMX,PRECTMX,PRECTMX,PRECTMX,PRECTMX,PRECTMX,PRECTMX,PRECTMX,PRECTMX,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,SST,SST,SST,SST,SST,SST,SST,SST,SST,SST,SST,SST,SST,SST,SST,SST,SST,SST,SST,TMQ,TMQ,TMQ,TMQ,TMQ,TMQ,TMQ,TMQ,TMQ,TMQ,TMQ,TMQ,TMQ,TMQ,TMQ,TMQ,TMQ,TMQ,TMQ,TS,TS,TS,TS,TS,TS,TS,TS,TS,TS,TS,TS,TS,TS,TS,TS,TS,TS,TS
,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT
,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,98.7411,99.0,99.2057,99.369,99.4988,99.6019,99.6838,99.7488,99.8005,99.8415,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,98.7411,99.0,99.2057,99.369,99.4988,99.6019,99.6838,99.7488,99.8005,99.8415,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,98.7411,99.0,99.2057,99.369,99.4988,99.6019,99.6838,99.7488,99.8005,99.8415,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,98.7411,99.0,99.2057,99.369,99.4988,99.6019,99.6838,99.7488,99.8005,99.8415,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,98.7411,99.0,99.2057,99.369,99.4988,99.6019,99.6838,99.7488,99.8005,99.8415,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,98.7411,99.0,99.2057,99.369,99.4988,99.6019,99.6838,99.7488,99.8005,99.8415,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,98.7411,99.0,99.2057,99.369,99.4988,99.6019,99.6838,99.7488,99.8005,99.8415,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,98.7411,99.0,99.2057,99.369,99.4988,99.6019,99.6838,99.7488,99.8005,99.8415,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,98.7411,99.0,99.2057,99.369,99.4988,99.6019,99.6838,99.7488,99.8005,99.8415,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,98.7411,99.0,99.2057,99.369,99.4988,99.6019,99.6838,99.7488,99.8005,99.8415,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,98.7411,99.0,99.2057,99.369,99.4988,99.6019,99.6838,99.7488,99.8005,99.8415,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,98.7411,99.0,99.2057,99.369,99.4988,99.6019,99.6838,99.7488,99.8005,99.8415,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,98.7411,99.0,99.2057,99.369,99.4988,99.6019,99.6838,99.7488,99.8005,99.8415,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,98.7411,99.0,99.2057,99.369,99.4988,99.6019,99.6838,99.7488,99.8005,99.8415,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,98.7411,99.0,99.2057,99.369,99.4988,99.6019,99.6838,99.7488,99.8005,99.8415
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,258.507080078,287.33291626,317.562255859,316.703582764,360.40737915,394.090759277,370.460449219,366.587249756,360.741912842,379.719360352,425.538909912,446.948516846,438.28894043,434.378479004,511.900909424,448.998474121,457.367889404,366.594970703,265.337646484,0.022897073999,0.0202009119093,0.0187918264419,0.0191183220595,0.0136189945042,0.0108136562631,0.0181535184383,0.0204110443592,0.0155456010252,0.0172708239406,0.0173458810896,0.0112560419366,0.00682299211621,0.00209960970096,0.00955602526665,0.0182374361902,0.0281342659146,0.0428201667964,0.0651417523623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97738.484375,97875.578125,97686.0078125,97318.0078125,96496.1015625,96822.46875,97771.765625,99457.9140625,96365.015625,97347.890625,98705.5,97926.3515625,94634.1640625,95040.8203125,99765.0859375,99446.453125,92965.09375,91943.25,99234.9140625,35647.5390625,34282.5703125,35957.4882812,36884.5351562,33407.5273438,31743.6601562,29827.6523438,31036.2675781,33838.3710938,35310.203125,34593.4960938,30736.7460938,30806.6953125,33954.1875,22340.0,36196.2539062,33126.6601562,42585.3710938,56586.234375,1.15229269682e-07,1.29406117821e-07,1.42526729974e-07,1.53312939233e-07,1.68332491057e-07,1.83551932764e-07,1.98077430014e-07,2.079808894e-07,2.16373649664e-07,2.17482408971e-07,2.27656386187e-07,2.3938588356e-07,2.40179531374e-07,2.43845448722e-07,2.92990335993e-07,3.01046299001e-07,2.89675284648e-07,2.67646129259e-07,2.65156614887e-07,5.15017584135e-09,6.80587808333e-09,8.97731489147e-09,1.17287592971e-08,1.10430917744e-08,1.14275078289e-08,1.12131255392e-08,1.17168426073e-08,1.92098532636e-08,3.05891099117e-08,3.15858201816e-08,2.97068218913e-08,4.64965488334e-08,5.73687692906e-08,1.69270997219e-08,1.65125886298e-08,3.8368526134e-08,8.56535393723e-08,1.01493753846e-07,7.24297466448e-09,6.82446898992e-09,6.49032605438e-09,6.85817092005e-09,5.45884359937e-09,3.57864116118e-09,7.89399212664e-09,1.06210800155e-08,1.00904902212e-08,7.42203898341e-09,5.63422730693e-09,6.90773083178e-09,1.05362962799e-08,1.8986217043e-09,4.22993773341e-09,7.3898420716e-09,9.79796332956e-09,2.08585841932e-08,4.34238245361e-08,1.2037943975e-07,1.36211980362e-07,1.51504039536e-07,1.65041683431e-07,1.79375604148e-07,1.94979435264e-07,2.09290547559e-07,2.19697724901e-07,2.35583513586e-07,2.48071529541e-07,2.59242199263e-07,2.69092680583e-07,2.86676083761e-07,3.0121421446e-07,3.09917425056e-07,3.17558857432e-07,3.28043796571e-07,3.53299697053e-07,3.66650368733e-07,1.2037943975e-07,1.36211980362e-07,1.51504039536e-07,1.65041683431e-07,1.79375604148e-07,1.94979435264e-07,2.09290547559e-07,2.19697724901e-07,2.35583513586e-07,2.48071529541e-07,2.59242199263e-07,2.69092680583e-07,2.86676083761e-07,3.0121421446e-07,3.09917425056e-07,3.17558857432e-07,3.28043796571e-07,3.53299697053e-07,3.66650368733e-07,98748.0234375,98958.265625,98460.78125,98083.3203125,97251.3828125,97576.6953125,98630.8828125,100269.773438,97896.21875,99164.34375,99448.6640625,98690.765625,95583.8046875,96027.7890625,100552.914062,100192.273438,93786.8828125,92798.90625,101033.921875,224.990341187,228.805358887,215.662109375,233.551239014,216.201812744,204.099075317,252.991439819,282.376068115,264.757263184,266.40322876,262.680297852,257.547393799,261.913452148,256.449035645,300.643035889,300.557525635,225.278320312,199.279464722,300.610046387,45.4037094116,46.2450523376,45.8950653076,45.2956352234,45.1861076355,45.7048454285,46.6212997437,48.504486084,45.1420860291,47.0385398865,48.7191238403,48.721912384,45.1136398315,44.3789749146,53.8794441223,53.1513175964,44.6726417542,41.1133003235,52.2012481689,299.221984863,299.298492432,298.472381592,298.072143555,298.059783936,298.00177002,298.744995117,299.464538574,297.637451172,298.467712402,299.189605713,299.104278564,296.602111816,295.920715332,300.194549561,300.323699951,296.737548828,295.384368896,300.610046387
