,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CBMF,CBMF,CBMF,CBMF,CBMF,CBMF,CBMF,CBMF,CBMF,CBMF,CBMF,CBMF,CBMF,CBMF,CBMF,CBMF,CBMF,CBMF,CBMF,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,ICEFRAC,ICEFRAC,ICEFRAC,ICEFRAC,ICEFRAC,ICEFRAC,ICEFRAC,ICEFRAC,ICEFRAC,ICEFRAC,ICEFRAC,ICEFRAC,ICEFRAC,ICEFRAC,ICEFRAC,ICEFRAC,ICEFRAC,ICEFRAC,ICEFRAC,PCLDBOT,PCLDBOT,PCLDBOT,PCLDBOT,PCLDBOT,PCLDBOT,PCLDBOT,PCLDBOT,PCLDBOT,PCLDBOT,PCLDBOT,PCLDBOT,PCLDBOT,PCLDBOT,PCLDBOT,PCLDBOT,PCLDBOT,PCLDBOT,PCLDBOT,PCLDTOP,PCLDTOP,PCLDTOP,PCLDTOP,PCLDTOP,PCLDTOP,PCLDTOP,PCLDTOP,PCLDTOP,PCLDTOP,PCLDTOP,PCLDTOP,PCLDTOP,PCLDTOP,PCLDTOP,PCLDTOP,PCLDTOP,PCLDTOP,PCLDTOP,PRECC,PRECC,PRECC,PRECC,PRECC,PRECC,PRECC,PRECC,PRECC,PRECC,PRECC,PRECC,PRECC,PRECC,PRECC,PRECC,PRECC,PRECC,PRECC,PRECL,PRECL,PRECL,PRECL,PRECL,PRECL,PRECL,PRECL,PRECL,PRECL,PRECL,PRECL,PRECL,PRECL,PRECL,PRECL,PRECL,PRECL,PRECL,PRECSH,PRECSH,PRECSH,PRECSH,PRECSH,PRECSH,PRECSH,PRECSH,PRECSH,PRECSH,PRECSH,PRECSH,PRECSH,PRECSH,PRECSH,PRECSH,PRECSH,PRECSH,PRECSH,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECTMX,PRECTMX,PRECTMX,PRECTMX,PRECTMX,PRECTMX,PRECTMX,PRECTMX,PRECTMX,PRECTMX,PRECTMX,PRECTMX,PRECTMX,PRECTMX,PRECTMX,PRECTMX,PRECTMX,PRECTMX,PRECTMX,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,SST,SST,SST,SST,SST,SST,SST,SST,SST,SST,SST,SST,SST,SST,SST,SST,SST,SST,SST,TMQ,TMQ,TMQ,TMQ,TMQ,TMQ,TMQ,TMQ,TMQ,TMQ,TMQ,TMQ,TMQ,TMQ,TMQ,TMQ,TMQ,TMQ,TMQ,TS,TS,TS,TS,TS,TS,TS,TS,TS,TS,TS,TS,TS,TS,TS,TS,TS,TS,TS
,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT
,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,98.7411,99.0,99.2057,99.369,99.4988,99.6019,99.6838,99.7488,99.8005,99.8415,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,98.7411,99.0,99.2057,99.369,99.4988,99.6019,99.6838,99.7488,99.8005,99.8415,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,98.7411,99.0,99.2057,99.369,99.4988,99.6019,99.6838,99.7488,99.8005,99.8415,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,98.7411,99.0,99.2057,99.369,99.4988,99.6019,99.6838,99.7488,99.8005,99.8415,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,98.7411,99.0,99.2057,99.369,99.4988,99.6019,99.6838,99.7488,99.8005,99.8415,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,98.7411,99.0,99.2057,99.369,99.4988,99.6019,99.6838,99.7488,99.8005,99.8415,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,98.7411,99.0,99.2057,99.369,99.4988,99.6019,99.6838,99.7488,99.8005,99.8415,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,98.7411,99.0,99.2057,99.369,99.4988,99.6019,99.6838,99.7488,99.8005,99.8415,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,98.7411,99.0,99.2057,99.369,99.4988,99.6019,99.6838,99.7488,99.8005,99.8415,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,98.7411,99.0,99.2057,99.369,99.4988,99.6019,99.6838,99.7488,99.8005,99.8415,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,98.7411,99.0,99.2057,99.369,99.4988,99.6019,99.6838,99.7488,99.8005,99.8415,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,98.7411,99.0,99.2057,99.369,99.4988,99.6019,99.6838,99.7488,99.8005,99.8415,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,98.7411,99.0,99.2057,99.369,99.4988,99.6019,99.6838,99.7488,99.8005,99.8415,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,98.7411,99.0,99.2057,99.369,99.4988,99.6019,99.6838,99.7488,99.8005,99.8415,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,98.7411,99.0,99.2057,99.369,99.4988,99.6019,99.6838,99.7488,99.8005,99.8415
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,315.627532959,341.867584229,364.491851807,388.304779053,398.595306396,419.372192383,436.802276611,417.941680908,444.689086914,443.687194824,519.468811035,508.317718506,521.651245117,574.940429688,464.841796875,501.133850098,562.115600586,514.113830566,515.262268066,0.0159926600754,0.014980122447,0.0141496667638,0.0153871495277,0.0190706532449,0.0210933219641,0.0200869496912,0.0235376227647,0.0147157479078,0.028059432283,0.0220638085157,0.0224357992411,0.00923434179276,0.00392007129267,0.0371399559081,0.0420123301446,0.0274643152952,0.0421710684896,0.0407884716988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97759.84375,97862.578125,97302.3984375,98819.4375,97378.5625,97463.796875,97375.4609375,98679.9140625,98580.96875,98583.4375,98016.390625,99242.0546875,99339.109375,98795.875,100063.96875,96727.125,100148.734375,100175.492188,100183.632812,33348.5039062,31489.6894531,31464.3652344,32381.6777344,35969.7226562,31647.40625,31586.6796875,33597.1914062,32344.0214844,31141.1386719,26375.7480469,28571.8007812,28900.6640625,25407.9472656,31346.9003906,34152.5078125,35168.25,33215.2421875,32991.1289062,1.27660797489e-07,1.44914778843e-07,1.63429490385e-07,1.7971198929e-07,1.89112128623e-07,2.11409229678e-07,2.31659171845e-07,2.36039426227e-07,2.53856939025e-07,2.67088410055e-07,2.9238674415e-07,2.97916358249e-07,3.16266721256e-07,3.39747344924e-07,3.38865305594e-07,3.52887155941e-07,4.18470762042e-07,4.1413704821e-07,3.87716198702e-07,6.58454757385e-09,9.20831144668e-09,9.53163414863e-09,1.07491509027e-08,1.97591543127e-08,1.51658650083e-08,1.39973277413e-08,2.94853599314e-08,2.42739695011e-08,2.28772414346e-08,1.52953951726e-08,1.73874905585e-08,1.23996484191e-08,1.40265026261e-08,6.14855295566e-08,6.3131018635e-08,1.121315929e-08,2.04425099071e-08,6.96657238564e-08,5.1036663784e-09,4.72270400564e-09,5.49820011742e-09,5.82980952402e-09,6.64582033849e-09,8.74292371833e-09,1.11001572378e-08,1.21705756584e-08,8.36953173433e-09,1.39106859365e-08,1.00370778355e-08,1.09361391054e-08,9.95251170366e-09,1.15259257694e-09,3.90145125095e-08,4.03862934206e-08,4.49259296431e-08,6.44161488594e-08,3.36117658151e-08,1.34245340178e-07,1.54123071638e-07,1.72961136968e-07,1.90461150851e-07,2.08871298923e-07,2.26575082252e-07,2.45656480047e-07,2.65524789711e-07,2.78130869447e-07,2.89965640832e-07,3.07682114453e-07,3.15303822163e-07,3.28666402538e-07,3.53773856432e-07,4.00350785412e-07,4.16018167471e-07,4.29683893799e-07,4.34579533248e-07,4.57381901242e-07,1.34245340178e-07,1.54123071638e-07,1.72961136968e-07,1.90461150851e-07,2.08871298923e-07,2.26575082252e-07,2.45656480047e-07,2.65524789711e-07,2.78130869447e-07,2.89965640832e-07,3.07682114453e-07,3.15303822163e-07,3.28666402538e-07,3.53773856432e-07,4.00350785412e-07,4.16018167471e-07,4.29683893799e-07,4.34579533248e-07,4.57381901242e-07,98573.09375,98624.1640625,98525.4453125,99597.296875,98920.8203125,99169.859375,98360.8984375,99443.640625,99368.265625,99341.984375,98837.0546875,100031.914062,100091.625,99577.7578125,100814.429688,97616.6875,100899.828125,100926.789062,100935.0,222.790130615,240.19418335,246.039306641,244.574783325,226.456176758,238.25793457,249.065597534,303.527709961,280.716522217,303.384521484,280.382019043,282.659820557,304.544555664,304.372192383,303.67010498,259.644256592,303.665008545,303.398101807,302.577301025,63.6832389832,64.4460220337,64.4982452393,66.0953063965,64.910194397,65.8355407715,64.4855804443,67.5125579834,68.5498504639,66.1155395508,67.1264266968,68.7612762451,69.9433288574,70.1231079102,71.4254837036,62.0193405151,65.3890762329,67.2175445557,65.459312439,303.112365723,303.218566895,302.694152832,303.137237549,302.395263672,302.689910889,302.491149902,303.46383667,303.565246582,303.207550049,303.381958008,304.000732422,304.08706665,303.962768555,303.67010498,300.74029541,303.665008545,303.398101807,302.577301025
