,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CAPE,CBMF,CBMF,CBMF,CBMF,CBMF,CBMF,CBMF,CBMF,CBMF,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,ICEFRAC,ICEFRAC,ICEFRAC,ICEFRAC,ICEFRAC,ICEFRAC,ICEFRAC,ICEFRAC,ICEFRAC,PCLDBOT,PCLDBOT,PCLDBOT,PCLDBOT,PCLDBOT,PCLDBOT,PCLDBOT,PCLDBOT,PCLDBOT,PCLDTOP,PCLDTOP,PCLDTOP,PCLDTOP,PCLDTOP,PCLDTOP,PCLDTOP,PCLDTOP,PCLDTOP,PRECC,PRECC,PRECC,PRECC,PRECC,PRECC,PRECC,PRECC,PRECC,PRECL,PRECL,PRECL,PRECL,PRECL,PRECL,PRECL,PRECL,PRECL,PRECSH,PRECSH,PRECSH,PRECSH,PRECSH,PRECSH,PRECSH,PRECSH,PRECSH,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECTMX,PRECTMX,PRECTMX,PRECTMX,PRECTMX,PRECTMX,PRECTMX,PRECTMX,PRECTMX,PS,PS,PS,PS,PS,PS,PS,PS,PS,SST,SST,SST,SST,SST,SST,SST,SST,SST,TMQ,TMQ,TMQ,TMQ,TMQ,TMQ,TMQ,TMQ,TMQ,TS,TS,TS,TS,TS,TS,TS,TS,TS
,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT,PRECT
,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151,90.0,92.0567,93.6904,94.9881,96.0189,96.8377,97.4881,98.0047,98.4151
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,325.847686768,357.576324463,362.422515869,353.742980957,427.398254395,445.16619873,426.992279053,404.082305908,386.976074219,0.012548157014,0.0114128934219,0.0102466875687,0.0118041727692,0.0078782401979,0.00371602224186,0.00788206420839,0.00842645950615,0.0114306481555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93395.84375,94803.109375,94617.5,93250.4765625,93805.546875,92803.3515625,94065.5234375,92969.6328125,89409.6796875,35116.203125,36308.0976562,39121.0078125,33742.8242188,35918.953125,37247.3242188,33076.5195312,29797.3710938,34255.2148438,1.25007446172e-07,1.3978946356e-07,1.47635262238e-07,1.60376075087e-07,1.69856377852e-07,1.7396955343e-07,1.855920857e-07,1.8985011252e-07,1.93895402845e-07,8.45395931037e-09,8.6177625036e-09,1.31801245473e-08,1.17274989719e-08,1.36330147171e-08,1.75322814044e-08,1.51902455059e-08,2.16606803605e-08,3.87539564883e-08,3.18920001519e-09,2.89568546918e-09,2.40474018476e-09,3.35413097297e-09,3.40236283591e-09,1.75687420167e-09,1.87995286005e-09,2.74763367614e-09,4.59871829506e-09,1.33461412588e-07,1.48407224287e-07,1.60815389449e-07,1.7210356873e-07,1.83489390793e-07,1.91501840163e-07,2.007823241e-07,2.11510794657e-07,2.3264935578e-07,1.33461412588e-07,1.48407224287e-07,1.60815389449e-07,1.7210356873e-07,1.83489390793e-07,1.91501840163e-07,2.007823241e-07,2.11510794657e-07,2.3264935578e-07,95167.25,95585.9296875,95384.8359375,94029.6171875,94581.8671875,93528.359375,94817.703125,93771.6953125,90260.8203125,107.703811646,124.04044342,134.46647644,190.050476074,123.218002319,69.7095336914,127.657524109,149.215179443,150.335067749,43.4739761353,43.9536209106,43.4050331116,43.0857658386,43.5855751038,42.200504303,43.7783088684,42.8904800415,40.2601051331,297.560577393,297.228912354,296.103210449,296.115509033,296.172698975,295.175598145,296.164703369,295.647766113,293.60559082
